gene,ensembl_id,sfari_score,syndromic,CTRL_RG_detected_cells,CTRL_RG_detection_percentage,CTRL_IPC_detected_cells,CTRL_IPC_detection_percentage,CTRL_Young_dExN_detected_cells,CTRL_Young_dExN_detection_percentage
PSMD6,ENSG00000163636,1,0,667,55.12396694214876,242,52.95404814004377,799,60.62215477996965
PTCHD1,ENSG00000165186,1,0,29,2.396694214876033,2,0.437636761487965,5,0.37936267071320184
PTEN,ENSG00000171862,1,1,1087,89.83471074380165,384,84.02625820568927,1125,85.3566009104704
PTK7,ENSG00000112655,1,0,410,33.88429752066116,158,34.57330415754923,438,33.23216995447648
PTPN11,ENSG00000179295,1,1,589,48.67768595041322,231,50.54704595185996,836,63.42943854324734
RAI1,ENSG00000108557,1,1,235,19.421487603305785,191,41.794310722100654,575,43.62670713201821
RALGAPB,ENSG00000170471,1,0,548,45.289256198347104,193,42.23194748358862,652,49.468892261001514
RELN,ENSG00000189056,1,0,5,0.4132231404958678,27,5.908096280087527,460,34.901365705614566
RERE,ENSG00000142599,1,1,1203,99.42148760330579,456,99.78118161925602,1318,100.0
RFX3,ENSG00000080298,1,0,1141,94.29752066115702,426,93.21663019693655,1221,92.64036418816389
RIMS1,ENSG00000079841,1,0,430,35.53719008264463,58,12.691466083150985,492,37.32928679817906
RNU2-2,ENSG00000222328,1,1,0,0.0,0,0.0,0,0.0
RNU4-2,ENSG00000202538,1,1,0,0.0,0,0.0,0,0.0
RNU5B-1,ENSG00000200156,1,1,0,0.0,0,0.0,0,0.0
RORB,ENSG00000198963,1,1,381,31.487603305785125,193,42.23194748358862,560,42.48861911987861
RUNX1T1,ENSG00000079102,1,0,321,26.52892561983471,283,61.925601750547045,1194,90.59180576631259
SATB1,ENSG00000182568,1,1,275,22.727272727272727,122,26.695842450765863,335,25.417298937784523
SATB2,ENSG00000119042,1,1,211,17.43801652892562,64,14.00437636761488,338,25.644916540212442
SCN1A,ENSG00000144285,1,1,90,7.43801652892562,4,0.87527352297593,17,1.289833080424886
SCN2A,ENSG00000136531,1,0,14,1.1570247933884297,12,2.62582056892779,351,26.631259484066767
SCN8A,ENSG00000196876,1,0,270,22.31404958677686,190,41.57549234135667,826,62.67071320182094
SETBP1,ENSG00000152217,1,0,1192,98.51239669421487,456,99.78118161925602,1307,99.16540212443095
SETD1A,ENSG00000099381,1,1,196,16.198347107438018,73,15.973741794310722,240,18.20940819423369
SETD2,ENSG00000181555,1,0,991,81.90082644628099,364,79.64989059080963,1134,86.03945371775417
SETD5,ENSG00000168137,1,1,1127,93.14049586776859,433,94.74835886214441,1191,90.36418816388468
SF1,ENSG00000168066,1,0,1052,86.94214876033058,374,81.83807439824945,1046,79.36267071320182
SHANK2,ENSG00000162105,1,0,931,76.94214876033058,349,76.36761487964989,1110,84.2185128983308
SHANK3,ENSG00000251322,1,1,87,7.190082644628099,19,4.157549234135668,121,9.180576631259484
SIN3A,ENSG00000169375,1,1,443,36.611570247933884,124,27.133479212253828,439,33.30804248861912
SKI,ENSG00000157933,1,0,357,29.50413223140496,90,19.693654266958426,431,32.701062215478
SLC6A1,ENSG00000157103,1,1,335,27.68595041322314,16,3.50109409190372,39,2.959028831562974
SLC9A6,ENSG00000198689,1,1,205,16.94214876033058,68,14.879649890590809,395,29.969650986342945
SMARCA1,ENSG00000102038,1,0,811,67.02479338842976,223,48.796498905908095,605,45.90288315629742
SMARCA2,ENSG00000080503,1,1,509,42.06611570247934,48,10.50328227571116,536,40.667678300455236
SMARCA4,ENSG00000127616,1,0,997,82.39669421487604,418,91.46608315098469,1252,94.99241274658574
SMARCC2,ENSG00000139613,1,1,557,46.03305785123967,212,46.38949671772429,698,52.959028831562975
SON,ENSG00000159140,1,1,1202,99.33884297520662,453,99.12472647702407,1307,99.16540212443095
SOS2,ENSG00000100485,1,0,703,58.099173553719005,272,59.518599562363235,792,60.09104704097117
SOX5,ENSG00000134532,1,1,1204,99.50413223140495,455,99.56236323851203,1317,99.92412746585735
SPAST,ENSG00000021574,1,0,536,44.29752066115702,281,61.48796498905908,990,75.11380880121396
SRCAP,ENSG00000080603,1,0,389,32.14876033057851,120,26.2582056892779,409,31.03186646433991
SRPRA,ENSG00000182934,1,0,264,21.818181818181817,96,21.00656455142232,245,18.588770864946888
STXBP1,ENSG00000136854,1,1,381,31.487603305785125,371,81.18161925601751,1207,91.57814871016691
SYN1,ENSG00000008056,1,0,2,0.1652892561983471,33,7.2210065645514225,345,26.176024279210925
SYNGAP1,ENSG00000197283,1,1,313,25.867768595041323,138,30.196936542669583,627,47.57207890743551
TANC2,ENSG00000170921,1,1,1044,86.28099173553719,372,81.40043763676148,1266,96.0546282245827
TAOK1,ENSG00000160551,1,1,1012,83.63636363636364,411,89.93435448577681,1206,91.50227617602428
TBCEL,ENSG00000154114,1,0,463,38.264462809917354,172,37.63676148796499,590,44.764795144157816
TBCK,ENSG00000145348,1,1,902,74.54545454545455,352,77.02407002188184,1020,77.38998482549317
TBL1XR1,ENSG00000177565,1,0,1134,93.71900826446281,422,92.34135667396062,1210,91.80576631259484
TBR1,ENSG00000136535,1,0,63,5.206611570247934,220,48.14004376367615,1082,82.09408194233687
TCF20,ENSG00000100207,1,1,549,45.37190082644628,260,56.89277899343545,948,71.92716236722306
TCF4,ENSG00000196628,1,1,1210,100.0,457,100.0,1318,100.0
TCF7L2,ENSG00000148737,1,0,922,76.19834710743801,131,28.665207877461707,256,19.423368740515933
TEK,ENSG00000120156,1,0,54,4.462809917355372,4,0.87527352297593,12,0.9104704097116844
TLE3,ENSG00000140332,1,0,344,28.429752066115704,146,31.947483588621445,407,30.88012139605463
TLK2,ENSG00000146872,1,1,804,66.44628099173553,324,70.89715536105032,880,66.76783004552352
TM9SF4,ENSG00000101337,1,0,620,51.239669421487605,189,41.35667396061269,567,43.019726858877085
TRAF7,ENSG00000131653,1,1,266,21.983471074380166,86,18.818380743982495,351,26.631259484066767
TRIM23,ENSG00000113595,1,0,378,31.239669421487605,124,27.133479212253828,527,39.98482549317147
TRIO,ENSG00000038382,1,0,1140,94.21487603305785,448,98.03063457330416,1297,98.40667678300456
TRIP12,ENSG00000153827,1,1,862,71.2396694214876,353,77.24288840262582,1018,77.2382397572079
TRRAP,ENSG00000196367,1,1,724,59.83471074380165,235,51.42231947483589,824,62.51896813353566
TSC1,ENSG00000165699,1,1,333,27.520661157024794,114,24.945295404814004,370,28.072837632776935
TSC2,ENSG00000103197,1,1,315,26.03305785123967,110,24.070021881838073,411,31.18361153262519
TSHZ1,ENSG00000179981,1,0,428,35.37190082644628,135,29.54048140043764,167,12.670713201820941
TSHZ3,ENSG00000121297,1,0,276,22.8099173553719,99,21.663019693654267,372,28.224582701062214
UBAP2L,ENSG00000143569,1,0,631,52.14876033057851,232,50.76586433260394,716,54.3247344461305
UBE3A,ENSG00000114062,1,1,1116,92.23140495867769,417,91.2472647702407,1240,94.08194233687405
UBR1,ENSG00000159459,1,0,803,66.36363636363636,300,65.64551422319475,886,67.22306525037936
UPF3B,ENSG00000125351,1,1,748,61.81818181818182,300,65.64551422319475,920,69.80273141122913
USP9X,ENSG00000124486,1,1,868,71.73553719008264,354,77.4617067833698,1046,79.36267071320182
VEZF1,ENSG00000136451,1,0,757,62.56198347107438,297,64.9890590809628,749,56.828528072837635
VPS13B,ENSG00000132549,1,1,1070,88.4297520661157,406,88.8402625820569,1135,86.11532625189682
WAC,ENSG00000095787,1,1,1126,93.05785123966942,430,94.09190371991247,1194,90.59180576631259
WDFY3,ENSG00000163625,1,0,1108,91.5702479338843,413,90.37199124726477,1260,95.59939301972686
YY1,ENSG00000100811,1,1,979,80.9090909090909,361,78.99343544857769,1102,83.61153262518968
ZBTB20,ENSG00000181722,1,1,1174,97.02479338842976,415,90.80962800875274,858,65.09863429438543
ZBTB21,ENSG00000173276,1,0,247,20.41322314049587,107,23.41356673960613,337,25.569044006069802
ZMYND8,ENSG00000101040,1,1,797,65.86776859504133,314,68.70897155361051,1037,78.67981790591806
ZNF292,ENSG00000188994,1,1,1194,98.67768595041322,457,100.0,1313,99.6206373292868
ZNF462,ENSG00000148143,1,1,1177,97.27272727272727,452,98.90590809628009,1298,98.48254931714719
ZNF865,ENSG00000261221,1,0,125,10.330578512396695,30,6.564551422319475,118,8.952959028831563
