gene,ensembl_id,CTRL_RG_detected_cells,CTRL_RG_detection_percentage,CTRL_IPC_detected_cells,CTRL_IPC_detection_percentage,CTRL_Young_detected_cells,CTRL_Young_detection_percentage
TCF3,ENSG00000071564,743,61.40495867768595,337,73.7417943107221,764,57.96661608497724
PLEKHJ1,ENSG00000104886,628,51.90082644628099,258,56.455142231947484,738,55.9939301972686
OAZ1,ENSG00000104904,1174,97.02479338842976,448,98.03063457330416,1296,98.33080424886191
LSM7,ENSG00000130332,1111,91.81818181818183,420,91.90371991247265,1184,89.83308042488619
TIMM13,ENSG00000099800,918,75.86776859504131,270,59.08096280087527,868,65.85735963581185
TLE5,ENSG00000104964,1054,87.10743801652893,416,91.02844638949672,1207,91.57814871016691
MRPL54,ENSG00000183617,688,56.85950413223141,207,45.29540481400438,650,49.317147192716234
EEF2,ENSG00000167658,1207,99.75206611570248,452,98.90590809628009,1306,99.08952959028832
MAP2K2,ENSG00000126934,891,73.63636363636363,322,70.45951859956236,992,75.26555386949924
MYDGF,ENSG00000074842,726,60.0,232,50.76586433260394,648,49.165402124430955
SAFB,ENSG00000160633,751,62.066115702479344,299,65.42669584245077,867,65.7814871016692
RPL36,ENSG00000130255,1210,100.0,457,100.0,1318,100.0
MICOS13,ENSG00000174917,647,53.471074380165284,198,43.32603938730853,741,56.221547799696516
NDUFA11,ENSG00000174886,1065,88.01652892561982,392,85.77680525164114,1154,87.55690440060698
RFX2,ENSG00000087903,645,53.30578512396694,76,16.630196936542667,323,24.506828528072838
CLPP,ENSG00000125656,623,51.48760330578512,210,45.951859956236326,746,56.600910470409715
ALKBH7,ENSG00000125652,745,61.57024793388429,252,55.14223194748359,850,64.4916540212443
KHSRP,ENSG00000088247,672,55.53719008264463,220,48.14004376367615,673,51.062215477996965
PET100,ENSG00000229833,1026,84.79338842975207,403,88.18380743982495,1175,89.15022761760243
TRAPPC5,ENSG00000181029,743,61.40495867768595,273,59.73741794310722,907,68.81638846737481
ELAVL1,ENSG00000066044,849,70.16528925619835,289,63.23851203501094,831,63.05007587253414
NDUFA7,ENSG00000267855,950,78.51239669421489,331,72.42888402625822,1013,76.85887708649469
RPS28,ENSG00000233927,1210,100.0,457,100.0,1318,100.0
HNRNPM,ENSG00000099783,1124,92.89256198347108,434,94.9671772428884,1167,88.5432473444613
UBL5,ENSG00000198258,1183,97.76859504132231,449,98.24945295404814,1291,97.95144157814872
PIN1,ENSG00000127445,629,51.98347107438016,277,60.61269146608315,788,59.78755690440061
OLFM2,ENSG00000105088,827,68.34710743801654,344,75.27352297592998,1179,89.45371775417298
DNMT1,ENSG00000130816,629,51.98347107438016,198,43.32603938730853,701,53.186646433990894
ILF3,ENSG00000129351,1027,84.87603305785125,383,83.80743982494529,1134,86.03945371775417
WDR83OS,ENSG00000105583,1045,86.36363636363636,389,85.12035010940919,1059,80.34901365705615
DHPS,ENSG00000095059,684,56.528925619834716,257,56.236323851203494,1013,76.85887708649469
TRIR,ENSG00000123144,1095,90.49586776859503,433,94.74835886214443,1240,94.08194233687405
PRDX2,ENSG00000167815,1201,99.25619834710744,454,99.34354485776805,1304,98.93778452200304
CALR,ENSG00000179218,946,78.18181818181819,380,83.15098468271334,911,69.11987860394537
RAD23A,ENSG00000179262,830,68.59504132231406,261,57.11159737417943,751,56.980273141122915
GADD45GIP1,ENSG00000179271,993,82.06611570247934,369,80.74398249452955,968,73.44461305007587
IER2,ENSG00000160888,758,62.64462809917355,255,55.798687089715536,778,59.028831562974204
C19orf53,ENSG00000104979,1028,84.9586776859504,344,75.27352297592998,975,73.97572078907434
SAMD1,ENSG00000141858,623,51.48760330578512,183,40.0437636761488,750,56.904400606980275
TECR,ENSG00000099797,656,54.21487603305785,205,44.85776805251641,783,59.408194233687404
NDUFB7,ENSG00000099795,1023,84.54545454545455,366,80.0875273522976,1147,87.0257966616085
AKAP8L,ENSG00000011243,872,72.06611570247934,352,77.02407002188184,1012,76.78300455235205
TPM4,ENSG00000167460,805,66.52892561983471,230,50.32822757111597,687,52.12443095599393
FAM32A,ENSG00000105058,678,56.03305785123966,273,59.73741794310722,847,64.26403641881639
SMIM7,ENSG00000214046,824,68.09917355371901,243,53.17286652078774,773,58.649468892261005
PGLS,ENSG00000130313,804,66.44628099173553,255,55.798687089715536,841,63.80880121396054
RPL18A,ENSG00000105640,1210,100.0,457,100.0,1318,100.0
CCDC124,ENSG00000007080,619,51.15702479338843,194,42.4507658643326,693,52.57966616084977
JUND,ENSG00000130522,1193,98.59504132231405,456,99.78118161925602,1292,98.02731411229135
LSM4,ENSG00000130520,977,80.74380165289257,286,62.58205689277899,995,75.49317147192717
SSBP4,ENSG00000130511,624,51.570247933884296,172,37.63676148796499,730,55.38694992412747
ISYNA1,ENSG00000105655,782,64.62809917355372,143,31.291028446389497,455,34.52200303490137
FKBP8,ENSG00000105701,842,69.58677685950413,264,57.76805251641138,961,72.91350531107739
UBA52,ENSG00000221983,1209,99.91735537190083,457,100.0,1318,100.0
REX1BD,ENSG00000006015,611,50.49586776859504,166,36.32385120350109,603,45.75113808801214
COPE,ENSG00000105669,1049,86.69421487603306,403,88.18380743982495,1219,92.4886191198786
RFXANK,ENSG00000064490,631,52.14876033057851,157,34.35448577680525,380,28.83156297420334
NCAN,ENSG00000130287,726,60.0,298,65.20787746170679,1097,83.23216995447648
NDUFA13,ENSG00000186010,1192,98.51239669421487,455,99.56236323851203,1300,98.63429438543247
ZNF714,ENSG00000160352,679,56.11570247933885,253,55.36105032822757,949,72.00303490136571
ZNF431,ENSG00000196705,613,50.66115702479339,268,58.64332603938731,854,64.79514415781486
ZNF708,ENSG00000182141,650,53.71900826446281,307,67.17724288840262,883,66.99544764795145
ZNF43,ENSG00000198521,709,58.595041322314046,247,54.04814004376368,619,46.965098634294385
ZNF91,ENSG00000167232,863,71.32231404958678,372,81.4004376367615,1157,87.78452200303491
ZNF254,ENSG00000213096,795,65.70247933884298,380,83.15098468271334,1092,82.85280728376327
UQCRFS1,ENSG00000169021,999,82.56198347107438,356,77.89934354485777,1074,81.48710166919575
URI1,ENSG00000105176,990,81.81818181818183,322,70.45951859956236,962,72.98937784522003
PDCD5,ENSG00000105185,944,78.01652892561984,340,74.39824945295405,1076,81.63884673748103
LSM14A,ENSG00000257103,1051,86.85950413223141,379,82.93216630196937,1074,81.48710166919575
GPI,ENSG00000105220,976,80.66115702479338,326,71.33479212253829,967,73.36874051593323
UBA2,ENSG00000126261,1035,85.53719008264463,367,80.30634573304157,1094,83.00455235204855
ZNF302,ENSG00000089335,690,57.02479338842975,219,47.921225382932164,827,62.74658573596358
TMEM147,ENSG00000105677,792,65.45454545454545,258,56.455142231947484,838,63.58118361153262
COX6B1,ENSG00000126267,1174,97.02479338842976,452,98.90590809628009,1306,99.08952959028832
CLIP3,ENSG00000105270,636,52.56198347107438,235,51.42231947483589,942,71.47192716236722
POLR2I,ENSG00000105258,868,71.73553719008264,251,54.92341356673961,935,70.94081942336874
ZNF565,ENSG00000196357,660,54.54545454545454,239,52.29759299781181,729,55.31107738998483
ZNF146,ENSG00000167635,789,65.20661157024793,314,68.7089715536105,836,63.42943854324734
PSMD8,ENSG00000099341,1073,88.67768595041322,399,87.30853391684902,1187,90.06069802731412
EIF3K,ENSG00000178982,1116,92.23140495867769,425,92.99781181619255,1249,94.76479514415782
ECH1,ENSG00000104823,707,58.429752066115704,201,43.98249452954048,731,55.46282245827011
RPS16,ENSG00000105193,1210,100.0,457,100.0,1318,100.0
FBL,ENSG00000105202,896,74.0495867768595,308,67.39606126914661,840,63.7329286798179
PSMC4,ENSG00000013275,686,56.69421487603306,271,59.29978118161926,864,65.55386949924127
PLD3,ENSG00000105223,878,72.56198347107437,338,73.96061269146608,1096,83.15629742033383
LTBP4,ENSG00000090006,626,51.735537190082646,149,32.60393873085339,336,25.493171471927162
SNRPA,ENSG00000077312,723,59.75206611570248,237,51.85995623632385,617,46.813353566009106
HNRNPUL1,ENSG00000105323,877,72.47933884297521,287,62.80087527352297,940,71.32018209408194
RPS19,ENSG00000105372,1210,100.0,457,100.0,1318,100.0
RABAC1,ENSG00000105404,972,80.33057851239668,380,83.15098468271334,1147,87.0257966616085
PAFAH1B3,ENSG00000079462,1022,84.46280991735537,397,86.87089715536105,1284,97.42033383915023
ZNF428,ENSG00000131116,1092,90.24793388429751,407,89.05908096280088,1244,94.38543247344461
CADM4,ENSG00000105767,774,63.96694214876033,234,51.203501094091905,825,62.5948406676783
